实际电压(V),容量(Ah),能量(Wh)
3.2019,223.3892,724.6235
3.2018,223.302,724.3445
3.2022,223.171,723.925
3.2024,223.0841,723.6466
3.2019,222.9532,723.2277
3.2021,222.866,722.9485
3.2025,222.7351,722.5296
3.2024,222.648,722.2505
3.2023,222.5172,721.8317
3.2022,222.4302,721.5531
3.2023,222.2992,721.1337
3.2026,222.212,720.8546
3.2024,222.0804,720.433
3.2024,221.994,720.1566
3.203,221.8632,719.7377
3.2026,221.7325,719.3191
3.2028,221.6452,719.0398
3.2025,221.5145,718.621
3.2028,221.4266,718.3396
3.2028,221.2965,717.9231
3.2031,221.2094,717.644
3.2028,221.0785,717.225
3.2028,220.9914,716.9459
3.2033,220.8603,716.5262
3.203,220.7734,716.2479
3.2031,220.6422,715.8276
3.2032,220.5551,715.5485
3.2031,220.4243,715.1297
3.2032,220.3371,714.8503
3.2033,220.2064,714.4317
3.2037,220.119,714.1517
3.2037,219.9885,713.7339
3.2034,219.9013,713.4546
3.2037,219.7706,713.0358
3.2037,219.6834,712.7566
3.2037,219.5526,712.3377
3.2038,219.4212,711.9169
3.2038,219.3347,711.6398
3.204,219.2041,711.2211
3.204,219.1168,710.9417
3.2042,218.9858,710.5217
3.2043,218.8986,710.2425
3.2043,218.7679,709.8237
3.2045,218.6807,709.5444
3.2044,218.5499,709.1254
3.2042,218.4629,708.8465
3.2042,218.3321,708.4276
3.2042,218.245,708.1484
3.2045,218.1143,707.7297
3.2044,218.0272,707.4505
3.2047,217.8965,707.0317
3.2046,217.8094,706.7526
3.2047,217.6787,706.3338
3.2046,217.5915,706.0545
3.2052,217.4608,705.6357
3.2049,217.3732,705.355
3.2051,217.243,704.9378
3.2055,217.1559,704.6588
3.2051,217.0248,704.2385
3.2052,216.8941,703.8196
3.2051,216.807,703.5405
3.2056,216.6763,703.1217
3.2054,216.5892,702.8424
3.2058,216.4586,702.4238
3.2058,216.3714,702.1445
3.2055,216.2408,701.7259
3.2059,216.1536,701.4465
3.2056,216.0229,701.0276
3.2056,215.9359,700.7486
3.2058,215.8052,700.3298
3.2056,215.7181,700.0507
3.2059,215.5874,699.6317
3.2058,215.4997,699.3506
3.2058,215.3688,698.931
3.2058,215.2817,698.6518
3.2062,215.151,698.233
3.206,215.064,697.954
3.2065,214.9329,697.5336
3.2064,214.8459,697.2547
3.2061,214.7152,696.8358
3.2064,214.5845,696.4168
3.2068,214.4974,696.1376
3.2063,214.3668,695.7188
3.2065,214.2797,695.4397
3.2069,214.1491,695.0209
3.2068,214.062,694.7416
3.2065,213.9314,694.3231
3.2065,213.8443,694.0436
3.2066,213.7137,693.625
3.2069,213.6266,693.3458
3.2068,213.496,692.9269
3.2068,213.4089,692.6478
3.2068,213.2783,692.2291
3.2069,213.1913,691.95
3.2073,213.06,691.5291
3.2072,212.9735,691.2518
3.2073,212.8428,690.8325
3.2072,212.7546,690.5496
3.2071,212.624,690.131
3.207,212.537,689.8519
3.2076,212.4063,689.4328
3.2075,212.2758,689.0142
3.2075,212.1887,688.7348
3.2077,212.0581,688.3162
3.2074,211.9711,688.037
3.2079,211.8404,687.618
3.2073,211.7532,687.3383
3.2074,211.6228,686.9202
3.2077,211.5358,686.6412
3.2079,211.4052,686.2223
3.2076,211.3182,685.9431
3.2078,211.1876,685.5242
3.2077,211.1005,685.245
3.2079,210.97,684.8264
3.2079,210.883,684.5472
3.2081,210.7524,684.1285
3.2082,210.6653,683.8492
3.2081,210.5348,683.4304
3.208,210.4477,683.1511
3.2082,210.3171,682.7322
3.2083,210.2301,682.4532
3.2084,210.0999,682.0353
3.2086,210.0126,681.7552
3.2084,209.882,681.3364
3.2086,209.7513,680.9169
3.2086,209.6645,680.6384
3.2093,209.5338,680.2194
3.2089,209.4469,679.9404
3.2087,209.3163,679.5215
3.2092,209.2293,679.2425
3.2087,209.0988,678.8237
3.2087,209.0117,678.5444
3.2087,208.8812,678.1258
3.2088,208.7942,677.8466
3.2089,208.6637,677.4277
3.2091,208.5767,677.1488
3.2094,208.4462,676.73
3.2093,208.3591,676.4505
3.2092,208.2286,676.0319
3.2091,208.1416,675.7525
3.2096,208.0111,675.3337
3.2093,207.9241,675.0546
3.2093,207.7935,674.6355
3.2093,207.7066,674.3566
3.2094,207.576,673.9377
3.2094,207.4457,673.5193
3.2095,207.3586,673.2398
3.2095,207.2281,672.821
3.2096,207.1411,672.5419
3.2097,207.0106,672.1232
3.2101,206.9236,671.8441
3.21,206.7923,671.4228
3.2098,206.706,671.1457
3.2097,206.5755,670.7269
3.2099,206.4886,670.448
3.21,206.3581,670.0292
3.2098,206.2713,669.7506
3.21,206.1406,669.3311
3.2103,206.0537,669.0522
3.2101,205.9217,668.6284
3.2101,205.8349,668.3497
3.2107,205.7044,667.931
3.2102,205.6174,667.6518
3.2104,205.487,667.233
3.2107,205.3998,666.9531
3.2104,205.2695,666.535
3.2104,205.1391,666.1162
3.2107,205.0521,665.837
3.211,204.9216,665.4182
3.2108,204.8346,665.1389
3.2105,204.7042,664.7203
3.2106,204.6172,664.441
3.2108,204.4867,664.0222
3.2107,204.3998,663.743
3.2111,204.2693,663.3242
3.2107,204.1824,663.0453
3.2108,204.0519,662.6264
3.2112,203.965,662.3472
3.211,203.8345,661.9284
3.2108,203.7475,661.6491
3.2112,203.6171,661.2303
3.211,203.5301,660.9511
3.211,203.3997,660.5324
3.2114,203.3128,660.2532
3.2114,203.1823,659.8343
3.2113,203.0954,659.5552
3.2116,202.9649,659.1361
3.2112,202.8779,658.8569
3.2114,202.7476,658.4384
3.2115,202.6172,658.0196
3.2113,202.5302,657.7404
3.2118,202.3998,657.3215
3.2116,202.3129,657.0425
3.2116,202.1824,656.6237
3.2117,202.0955,656.3445
3.2116,201.9651,655.9257
3.2117,201.8781,655.6464
3.2117,201.7478,655.228
3.2119,201.6608,654.9487
3.2119,201.5304,654.5298
3.2119,201.4434,654.2505
3.2119,201.313,653.8319
3.2122,201.2261,653.5527
3.2121,201.0957,653.1339
3.2119,201.0088,652.8549
3.2123,200.8784,652.4357
3.2121,200.7915,652.1567
3.2126,200.6611,651.7379
3.2122,200.5741,651.4585
3.2122,200.4438,651.0399
3.2125,200.3133,650.6209
3.2128,200.2265,650.3419
3.2129,200.096,649.9229
3.2124,200.0092,649.644
3.2126,199.8787,649.2249
3.2129,199.7918,648.9457
3.2128,199.6614,648.527
3.2126,199.5745,648.2478
3.2125,199.4442,647.8291
3.2127,199.3573,647.5499
3.2129,199.2268,647.1309
3.2133,199.1398,646.8513
3.2126,199.0096,646.4331
3.2133,198.9225,646.1533
3.2129,198.7923,645.7352
3.213,198.7051,645.455
3.2129,198.575,645.0371
3.2133,198.4882,644.7582
3.2129,198.3578,644.3391
3.2131,198.2709,644.0599
3.2131,198.1405,643.6411
3.2133,198.0102,643.2224
3.2138,197.9233,642.9431
3.2135,197.793,642.5244
3.2135,197.7061,642.2452
3.2136,197.5757,641.8264
3.2132,197.4888,641.5472
3.2136,197.3585,641.1284
3.2136,197.2716,640.8492
3.2138,197.1412,640.4302
3.2136,197.0543,640.1511
3.2138,196.924,639.7324
3.2135,196.8371,639.4531
3.2137,196.7068,639.0345
3.2142,196.6199,638.7553
3.2141,196.4896,638.3365
3.2138,196.4027,638.0573
3.2138,196.2712,637.6349
3.2139,196.1855,637.3593
3.2142,196.0551,636.9404
3.2141,195.9682,636.6613
3.2141,195.838,636.2426
3.2142,195.7511,635.9633
3.214,195.6208,635.5447
3.2142,195.4905,635.1257
3.2141,195.4036,634.8466
3.2143,195.2733,634.4277
3.2146,195.1864,634.1487
3.2143,195.0561,633.7297
3.2142,194.9692,633.4505
3.2147,194.8389,633.0316
3.2143,194.7521,632.7525
3.2144,194.6209,632.3309
3.2149,194.534,632.0518
3.2145,194.403,631.6307
3.2144,194.3168,631.3538
3.2145,194.1866,630.935
3.2147,194.0997,630.6558
3.2151,193.9694,630.2371
3.2145,193.8826,629.9579
3.2152,193.7522,629.539
3.2151,193.6654,629.2599
3.2147,193.5351,628.8412
3.215,193.4482,628.5618
3.2153,193.318,628.1432
3.2148,193.1876,627.7242
3.215,193.1008,627.4453
3.2156,192.9705,627.0263
3.215,192.8838,626.7474
3.2152,192.7534,626.3283
3.2151,192.6666,626.0491
3.2154,192.5352,625.6266
3.2156,192.4494,625.3511
3.2156,192.3175,624.9268
3.2154,192.2306,624.6475
3.2154,192.1003,624.2285
3.2153,192.0135,623.9496
3.2156,191.8833,623.5308
3.2156,191.7964,623.2515
3.2157,191.6662,622.8328
3.2156,191.5793,622.5535
3.2156,191.4491,622.1348
3.2156,191.3622,621.8557
3.2159,191.2311,621.4341
3.2159,191.1443,621.1549
3.2163,191.014,620.7361
3.2156,190.9271,620.4568
3.2159,190.7969,620.0382
3.2157,190.6658,619.6165
3.216,190.579,619.3375
3.2164,190.4483,618.9172
3.216,190.3612,618.6371
3.2163,190.2313,618.2192
3.2162,190.1444,617.9401
3.2167,190.0142,617.5212
3.2164,189.9274,617.242
3.2163,189.7971,616.8232
3.2161,189.7103,616.5439
3.2163,189.58,616.1251
3.2163,189.4933,615.846
3.2164,189.363,615.427
3.2163,189.2762,615.1478
3.2164,189.146,614.729
3.2167,189.0591,614.4498
3.2162,188.929,614.0312
3.2166,188.8418,613.7509
3.2166,188.7119,613.3332
3.2164,188.6251,613.054
3.2165,188.4946,612.6342
3.2166,188.3645,612.2157
3.2166,188.2779,611.9372
3.2169,188.1476,611.5183
3.217,188.0609,611.2393
3.217,187.9306,610.8205
3.2173,187.8439,610.5413
3.2166,187.7136,610.1226
3.2168,187.6268,609.8432
3.217,187.4967,609.4247
3.2169,187.4096,609.1445
3.2172,187.2796,608.7266
3.2169,187.1928,608.4473
3.217,187.0627,608.0287
3.2171,186.9758,607.7494
3.2171,186.8457,607.3306
3.2173,186.7588,607.0512
3.2172,186.6287,606.6326
3.2173,186.5418,606.3532
3.2171,186.4117,605.9344
3.2176,186.3249,605.6553
3.2172,186.1947,605.2364
3.2177,186.0645,604.8177
3.2175,185.9777,604.5384
3.2173,185.8476,604.1198
3.2179,185.7608,603.8407
3.2175,185.6291,603.4169
3.2175,185.5438,603.1425
3.2177,185.4136,602.7237
3.2177,185.3269,602.4446
3.2175,185.1967,602.0259
3.2177,185.1099,601.7467
3.2178,184.9797,601.3279
3.2177,184.893,601.0488
3.2178,184.7628,600.6299
3.2177,184.676,600.3506
3.2179,184.5456,599.9313
3.2181,184.4591,599.6528
3.2178,184.3289,599.234
3.2182,184.2421,598.9547
3.2179,184.112,598.5359
3.2181,184.0251,598.2564
3.2181,183.8948,597.837
3.2184,183.8083,597.5588
3.2187,183.6781,597.1398
3.218,183.548,596.7212
3.2182,183.4612,596.4418
3.2183,183.3311,596.0233
3.2184,183.2442,595.7437
3.2184,183.1142,595.3251
3.2187,183.0273,595.0457
3.2184,182.8972,594.627
3.2186,182.8105,594.348
3.2186,182.6804,593.9292
3.2185,182.5936,593.6498
3.2186,182.4634,593.2309
3.219,182.377,592.9528
3.2189,182.2466,592.5332
3.2187,182.1598,592.254
3.2185,182.0296,591.8351
3.2192,181.9429,591.556
3.2187,181.8128,591.1373
3.219,181.726,590.858
3.2188,181.5959,590.4393
3.2191,181.5091,590.1601
3.2191,181.3791,589.7415
3.2191,181.249,589.3228
3.2187,181.1622,589.0435
3.2191,181.032,588.6246
3.2192,180.9453,588.3455
3.219,180.8152,587.9266
3.2194,180.7288,587.6485
3.2192,180.5981,587.2278
3.2192,180.5116,586.9495
3.2193,180.3815,586.5305
3.2198,180.2948,586.2515
3.2193,180.1647,585.8326
3.2194,180.0779,585.5534
3.2192,179.9478,585.1346
3.2194,179.8611,584.8554
3.2196,179.731,584.4366
3.2194,179.6443,584.1574
3.2196,179.5141,583.7385
3.2196,179.4274,583.4595
3.2198,179.2974,583.0408
3.2196,179.2106,582.7615
3.2197,179.0805,582.3427
3.2196,178.9504,581.9238
3.2196,178.8637,581.6449
3.2196,178.7336,581.226
3.2197,178.6469,580.9468
3.2198,178.5167,580.5279
3.2201,178.4301,580.2488
3.2199,178.3,579.8301
3.2199,178.2133,579.5509
3.2199,178.0832,579.1321
3.2198,177.9964,578.8528
3.2203,177.8664,578.4341
3.22,177.7792,578.1534
3.2198,177.6496,577.7361
3.2206,177.5629,577.4569
3.22,177.4328,577.0381
3.2205,177.3459,576.7582
3.2204,177.216,576.34
3.2206,177.1293,576.0607
3.2202,176.9988,575.6406
3.2204,176.9121,575.3614
3.2203,176.782,574.9426
3.2203,176.6953,574.6634
3.2204,176.5652,574.2444
3.2206,176.4352,573.8258
3.2205,176.3485,573.5464
3.2205,176.2185,573.1279
3.2207,176.1317,572.8486
3.2208,176.0016,572.4297
3.2206,175.915,572.1506
3.2209,175.7849,571.7319
3.221,175.6982,571.4527
3.2207,175.5682,571.0339
3.2208,175.4814,570.7546
3.2211,175.3514,570.3359
3.2209,175.2647,570.0566
3.2206,175.1346,569.6378
3.221,175.048,569.3588
3.2212,174.9179,568.9398
3.2213,174.8312,568.6608
3.221,174.7012,568.2419
3.2212,174.6145,567.9626
3.2211,174.4845,567.544
3.2211,174.3977,567.2646
3.2215,174.2677,566.8458
3.221,174.1377,566.427
3.2211,174.051,566.1479
3.2215,173.921,565.7289
3.2212,173.8343,565.4498
3.2214,173.7043,565.0311
3.2214,173.6176,564.7517
3.2214,173.4876,564.3331
3.2217,173.4009,564.0538
3.2213,173.2709,563.6351
3.2216,173.1842,563.3557
3.2215,173.0542,562.9371
3.2214,172.9675,562.6578
3.2219,172.8375,562.2391
3.2216,172.7508,561.9599
3.2219,172.6207,561.5408
3.2215,172.5341,561.2618
3.2219,172.4041,560.8431
3.2217,172.3174,560.5637
3.2219,172.1874,560.1452
3.2217,172.1007,559.8658
3.2221,171.9707,559.4473
3.2218,171.8841,559.1681
3.2217,171.7541,558.7493
3.222,171.6241,558.3307
3.2219,171.5375,558.0516
3.2222,171.4074,557.6324
3.222,171.3207,557.3531
3.2219,171.1908,556.9346
3.2222,171.104,556.6553
3.2223,170.9741,556.2366
3.222,170.8874,555.9574
3.2222,170.7574,555.5386
3.2224,170.671,555.2601
3.2226,170.5408,554.8404
3.2224,170.454,554.5609
3.2224,170.3241,554.1425
3.2223,170.2375,553.8633
3.2222,170.1075,553.4444
3.2222,170.0208,553.1652
3.2226,169.8909,552.7465
3.2226,169.8042,552.4673
3.2224,169.6742,552.0485
3.2227,169.5876,551.7692
3.2224,169.4576,551.3505
3.2224,169.3277,550.9318
3.2225,169.2408,550.6519
3.2227,169.111,550.2337
3.2229,169.0243,549.9545
3.2228,168.8944,549.5358
3.2227,168.8078,549.2567
3.2229,168.6778,548.8378
3.2227,168.5911,548.5586
3.2231,168.4612,548.1398
3.2228,168.3746,547.8607
3.2229,168.2446,547.442
3.2231,168.1579,547.1624
3.2227,168.028,546.7439
3.223,167.9414,546.4647
3.2231,167.8114,546.0459
3.2233,167.7248,545.7668
3.2231,167.5948,545.348
3.223,167.5082,545.0687
3.2234,167.3782,544.6498
3.2233,167.2916,544.3705
3.2231,167.1617,543.9518
3.2231,167.0317,543.533
3.2231,166.945,543.2536
3.2236,166.8151,542.8348
3.2237,166.7285,542.5557
3.2234,166.5986,542.137
3.2236,166.5119,541.8577
3.2238,166.382,541.439
3.2235,166.2954,541.1597
3.2236,166.1646,540.7382
3.2236,166.078,540.4591
3.2239,165.948,540.0402
3.2237,165.8613,539.7609
3.2237,165.7307,539.3397
3.2238,165.6448,539.063
3.2241,165.5149,538.6441
3.2236,165.4282,538.3649
3.2237,165.2984,537.9466
3.2237,165.2112,537.6655
3.2241,165.0813,537.2468
3.224,164.9948,536.9677
3.2241,164.8648,536.5488
3.2243,164.7782,536.2697
3.224,164.6483,535.851
3.224,164.5184,535.432
3.2241,164.4303,535.1481
3.2238,164.3019,534.7342
3.2245,164.2153,534.455
3.224,164.0853,534.0359
3.2245,163.9987,533.757
3.2243,163.8688,533.3381
3.2244,163.7822,533.0588
3.2242,163.6523,532.6401
3.2241,163.5657,532.3608
3.2246,163.4358,531.942
3.2241,163.3492,531.6627
3.2244,163.2193,531.2441
3.2242,163.1327,530.9649
3.2245,163.0017,530.5426
3.2246,162.9162,530.2667
3.2248,162.7862,529.8478
3.2247,162.6997,529.5688
3.2244,162.5698,529.15
3.2247,162.4833,528.8711
3.2246,162.3533,528.4521
3.2245,162.2235,528.0334
3.2251,162.1369,527.7542
3.2247,162.007,527.3354
3.2252,161.9204,527.0562
3.2249,161.7905,526.6375
3.2248,161.7039,526.3582
3.2252,161.574,525.9395
3.225,161.4873,525.66
3.225,161.3575,525.2415
3.2249,161.2709,524.9622
3.2248,161.141,524.5435
3.225,161.0545,524.2643
3.2253,160.9247,523.8457
3.2248,160.838,523.5662
3.2253,160.7079,523.1469
3.2252,160.6216,522.8683
3.225,160.4917,522.4495
3.2252,160.4051,522.1703
3.225,160.2753,521.7517
3.2257,160.1886,521.4722
3.2252,160.0587,521.0533
3.2252,159.9289,520.6346
3.2257,159.8423,520.3554
3.2253,159.7125,519.9367
3.2252,159.6259,519.6575
3.2254,159.4961,519.2387
3.2252,159.4098,518.9605
3.2258,159.2797,518.5408
3.2254,159.1919,518.2578
3.2255,159.0632,517.8427
3.2255,158.9766,517.5635
3.2255,158.8468,517.1447
3.2258,158.7602,516.8654
3.2257,158.6291,516.4427
3.226,158.5425,516.1635
3.2255,158.4127,515.7448
3.2259,158.3261,515.4656
3.2259,158.1962,515.0467
3.2257,158.1097,514.7676
3.2262,157.9801,514.3494
3.2263,157.8925,514.067
3.2261,157.7625,513.6478
3.2259,157.6756,513.3676
3.226,157.5453,512.9473
3.2261,157.4155,512.5286
3.2259,157.3289,512.2492
3.2261,157.1991,511.8304
3.2259,157.1125,511.5512
3.2263,156.9823,511.131
3.2266,156.8947,510.8485
3.2262,156.766,510.4333
3.2261,156.6794,510.154
3.2264,156.548,509.7303
3.2261,156.463,509.456
3.2268,156.3331,509.037
3.2262,156.2466,508.7578
3.2264,156.1168,508.3391
3.2266,156.0303,508.06
3.2264,155.9004,507.641
3.2268,155.8138,507.3618
3.2267,155.6841,506.9432
3.2265,155.5975,506.664
3.227,155.4677,506.2452
3.2267,155.3812,505.966
3.2266,155.2514,505.5472
3.2268,155.1216,505.1284
3.227,155.035,504.8492
3.2268,154.9052,504.4305
3.2267,154.8187,504.1513
3.2268,154.6888,503.7324
3.2267,154.6023,503.4532
3.2269,154.4725,503.0345
3.2268,154.386,502.7554
3.2271,154.2561,502.3365
3.2267,154.1697,502.0574
3.2273,154.0399,501.6386
3.227,153.9533,501.3593
3.2269,153.8235,500.9405
3.2274,153.737,500.6615
3.2269,153.6072,500.2427
3.227,153.5206,499.9633
3.227,153.3911,499.5455
3.2271,153.3043,499.2652
3.2273,153.1745,498.8465
3.2273,153.088,498.5674
3.2275,152.9583,498.1487
3.2271,152.8284,497.7296
3.2272,152.742,497.4506
3.2271,152.6122,497.0318
3.228,152.5246,496.7491
3.2275,152.3958,496.3336
3.2273,152.3094,496.0546
3.2273,152.1796,495.6358
3.2276,152.093,495.3566
3.2273,151.9633,494.9378
3.2277,151.8768,494.6586
3.2276,151.7469,494.2397
3.2278,151.6604,493.9605
3.2276,151.5307,493.5418
3.2277,151.4442,493.2627
3.2278,151.3145,492.8442
3.2275,151.2279,492.5647
3.2278,151.0981,492.1456
3.2275,151.0116,491.8666
3.2278,150.8818,491.4478
3.2278,150.7954,491.1688
3.2281,150.6655,490.7497
3.228,150.5791,490.4708
3.228,150.4492,490.0518
3.228,150.3196,489.6332
3.228,150.2331,489.3541
3.228,150.1033,488.9353
3.2282,150.0168,488.6559
3.2283,149.8871,488.2373
3.228,149.8005,487.958
3.2279,149.6708,487.5393
3.228,149.5828,487.2551
3.2282,149.4547,486.8418
3.2281,149.3681,486.5621
3.2282,149.238,486.1423
3.2287,149.1518,485.864
3.2284,149.0218,485.4443
3.2282,148.9355,485.166
3.2282,148.8058,484.7471
3.2284,148.7189,484.4667
3.2286,148.5892,484.0479
3.2285,148.5027,483.7687
3.2284,148.373,483.35
3.2287,148.2865,483.0707
3.2287,148.1568,482.6521
3.2288,148.027,482.2332
3.2286,147.9403,481.9532
3.2287,147.8111,481.5362
3.2287,147.7243,481.2559
3.2286,147.5946,480.8372
3.2286,147.5081,480.558
3.2289,147.3784,480.1393
3.229,147.2919,479.8601
3.2291,147.1621,479.441
3.2291,147.0757,479.1623
3.229,146.9459,478.7432
3.2292,146.8594,478.4641
3.2288,146.7298,478.0454
3.2288,146.6433,477.7664
3.2291,146.5134,477.3468
3.229,146.4271,477.0683
3.2291,146.2969,476.6478
3.2291,146.2105,476.3689
3.2292,146.0808,475.9501
3.2297,145.993,475.6667
3.2292,145.8633,475.2478
3.2292,145.7768,474.9685
3.2292,145.6471,474.5499
3.2293,145.5174,474.1311
3.2294,145.4309,473.8519
3.2294,145.301,473.4324
3.2297,145.2148,473.1539
3.2296,145.085,472.7349
3.2294,144.9986,472.4557
3.2295,144.8689,472.0369
3.2296,144.7825,471.7579
3.2295,144.6528,471.3391
3.2297,144.5665,471.0606
3.23,144.4366,470.6411
3.2296,144.3501,470.3618
3.2297,144.2189,469.9383
3.2297,144.134,469.6638
3.2294,144.0043,469.245
3.2297,143.9178,468.966
3.2298,143.7881,468.5471
3.2299,143.7017,468.2679
3.2299,143.572,467.8491
3.2301,143.4856,467.5701
3.2298,143.3559,467.1512
3.2298,143.2262,466.7325
3.2298,143.1397,466.4532
3.23,143.01,466.0344
3.2301,142.9236,465.7553
3.2301,142.794,465.3365
3.2301,142.7075,465.0573
3.2303,142.5779,464.6385
3.2304,142.4914,464.3593
3.2304,142.3617,463.9404
3.23,142.2752,463.6611
3.2301,142.1452,463.241
3.2302,142.0587,462.9616
3.2303,141.9291,462.543
3.2305,141.8429,462.2646
3.2304,141.7129,461.8448
3.2303,141.6265,461.5656
3.2306,141.4968,461.1468
3.2305,141.4105,460.8679
3.2306,141.281,460.4497
3.2307,141.1944,460.1698
3.2303,141.0647,459.7509
3.2311,140.935,459.3321
3.2308,140.8486,459.0531
3.2306,140.7189,458.6342
3.2305,140.6326,458.3553
3.2308,140.5029,457.9363
3.2306,140.4165,457.6572
3.2308,140.286,457.2356
3.2307,140.1995,456.9564
3.2306,140.0698,456.5375
3.2307,139.9837,456.2593
3.231,139.8533,455.8381
3.2312,139.7669,455.559
3.2312,139.6373,455.1403
3.2312,139.5509,454.8611
3.2312,139.4212,454.4422
3.2312,139.3348,454.163
3.2311,139.2051,453.744
3.231,139.1188,453.4651
3.2313,138.9892,453.0464
3.2311,138.9025,452.7663
3.2315,138.7724,452.3459
3.2313,138.6867,452.0691
3.2313,138.557,451.6501
3.2312,138.4274,451.2313
3.2312,138.341,450.9522
3.2311,138.2114,450.5333
3.2316,138.125,450.2542
3.2314,137.9954,449.8354
3.2315,137.909,449.5562
3.2315,137.7793,449.1373
3.2319,137.6929,448.8581
3.2315,137.5633,448.4395
3.2319,137.4769,448.1602
3.2315,137.3473,447.7414
3.2317,137.2609,447.4622
3.2321,137.1312,447.0432
3.2318,137.0449,446.7644
3.2316,136.9153,446.3456
3.2322,136.8289,446.0666
3.2319,136.6993,445.6477
3.2319,136.6129,445.3684
3.232,136.4833,444.9497
3.2322,136.3969,444.6704
3.2319,136.2669,444.2503
3.2319,136.1372,443.8315
3.2323,136.0509,443.5525
3.2323,135.9212,443.1335
3.232,135.8349,442.8544
3.2322,135.7054,442.4357
3.2324,135.6188,442.1561
3.2327,135.4893,441.7376
3.2323,135.403,441.4585
3.2322,135.2733,441.0394
3.2325,135.187,440.7603
3.232,135.0574,440.3417
3.2325,134.971,440.0625
3.2326,134.8415,439.6437
3.2324,134.755,439.3643
3.2325,134.6255,438.9456
3.2327,134.5391,438.6664
3.2326,134.4095,438.2476
3.2324,134.3231,437.9682
3.2327,134.1936,437.5497
3.2326,134.1071,437.2703
3.2332,133.9776,436.8517
3.2327,133.848,436.4329
3.2329,133.7617,436.1537
3.2327,133.6321,435.7349
3.2328,133.5457,435.4558
3.2328,133.4162,435.0371
3.2335,133.3298,434.7578
3.2333,133.1991,434.3352
3.233,133.1138,434.0597
3.2333,132.9843,433.6409
3.2334,132.8979,433.3618
3.233,132.7683,432.9429
3.2334,132.682,432.6638
3.2333,132.5525,432.2452
3.2336,132.4661,431.9658
3.2332,132.3366,431.547
3.2334,132.2502,431.2679
3.2334,132.1207,430.849
3.2331,132.0343,430.5699
3.2336,131.9032,430.1461
3.2337,131.8184,429.8718
3.2334,131.6889,429.453
3.2335,131.6021,429.1724
3.2336,131.4725,428.7536
3.2334,131.343,428.3348
3.2336,131.2567,428.0556
3.2334,131.1271,427.6369
3.2339,131.0408,427.3577
3.2339,130.9111,426.9386
3.2342,130.8248,426.6596
3.2343,130.6953,426.2408
3.234,130.609,425.9617
3.2337,130.4795,425.543
3.2338,130.3932,425.2639
3.234,130.2637,424.8452
3.2337,130.1773,424.5658
3.234,130.0478,424.1472
3.2341,129.9615,423.868
3.2341,129.8318,423.4488
3.2343,129.7456,423.1698
3.2342,129.6161,422.7512
3.2341,129.5297,422.4718
3.2341,129.4003,422.0531
3.2341,129.314,421.7741
3.2343,129.1844,421.355
3.2344,129.0548,420.936
3.2345,128.9686,420.6571
3.2345,128.8391,420.2382
3.2346,128.7527,419.9588
3.2345,128.6232,419.5401
3.2346,128.5369,419.261
3.2349,128.4074,418.8422
3.2348,128.321,418.5629
3.2345,128.1916,418.1443
3.2345,128.1054,417.8655
3.2348,127.9758,417.4463
3.2348,127.8895,417.1671
3.2347,127.7592,416.7459
3.2348,127.6737,416.4692
3.2347,127.5441,416.0503
3.2351,127.4579,415.7712
3.2347,127.3284,415.3524
3.2352,127.2421,415.0732
3.2352,127.1125,414.6543
3.2353,127.0263,414.3752
3.2351,126.8968,413.9563
3.2351,126.8105,413.6771
3.2351,126.681,413.2583
3.2352,126.5514,412.8389
3.2352,126.4652,412.5603
3.2353,126.3358,412.1416
3.2353,126.2495,411.8623
3.2354,126.12,411.4435
3.2355,126.0338,411.1646
3.2354,125.904,410.7448
3.2355,125.818,410.4665
3.2354,125.6885,410.0475
3.2356,125.6022,409.7684
3.2356,125.4727,409.3496
3.2357,125.3864,409.0704
3.2357,125.257,408.6516
3.2362,125.1708,408.3726
3.2362,125.0413,407.9537
3.2357,124.9548,407.6738
3.2359,124.8256,407.2559
3.2363,124.739,406.9757
3.236,124.6099,406.5579
3.2363,124.5236,406.2787
3.2359,124.3941,405.8599
3.2361,124.2647,405.4411
3.2362,124.1784,405.1619
3.2362,124.0487,404.7422
3.2365,123.961,404.4583
3.2362,123.8316,404.0395
3.2364,123.7453,403.7603
3.2365,123.6159,403.3415
3.2367,123.5295,403.062
3.2366,123.4001,402.6433
3.2366,123.3141,402.3649
3.2368,123.1845,401.9454
3.2368,123.0982,401.6664
3.2371,122.9688,401.2474
3.2368,122.8826,400.9684
3.2368,122.7532,400.5496
3.2372,122.6668,400.2703
3.2369,122.5375,399.8517
3.237,122.4512,399.5724
3.2371,122.3218,399.1535
3.2369,122.2356,398.8745
3.2373,122.1061,398.4555
3.2373,121.9768,398.0368
3.2373,121.8905,397.7575
3.2376,121.7611,397.3387
3.2376,121.6749,397.0596
3.2375,121.5456,396.6409
3.2378,121.4592,396.3615
3.2373,121.3299,395.9428
3.2378,121.2436,395.6636
3.2376,121.1143,395.245
3.2375,121.028,394.9656
3.2375,120.8986,394.5466
3.2378,120.8123,394.2675
3.2376,120.683,393.8488
3.2378,120.597,393.5706
3.238,120.4674,393.1509
3.2379,120.3812,392.8717
3.2381,120.2512,392.4509
3.2383,120.1656,392.1738
3.238,120.0362,391.755
3.2381,119.95,391.4756
3.2382,119.8206,391.0568
3.2382,119.7344,390.7776
3.2387,119.6051,390.3591
3.2383,119.4757,389.94
