实际电压(V),容量(Ah),能量(Wh)
3.1063,304.6614,981.5492
3.1063,304.5266,981.1305
3.1065,304.4367,980.8513
3.1072,304.3019,980.4327
3.107,304.1662,980.011
3.1075,304.0762,979.7314
3.1077,303.9414,979.3126
3.1077,303.8515,979.0334
3.108,303.7168,978.6147
3.1083,303.6269,978.3354
3.1086,303.4922,977.9166
3.1089,303.4023,977.6374
3.1086,303.2676,977.2186
3.1093,303.1777,976.9393
3.1095,303.0424,976.5184
3.1094,302.9532,976.2412
3.1095,302.8185,975.8225
3.11,302.7287,975.5432
3.1102,302.594,975.1244
3.1103,302.5042,974.8453
3.1102,302.3696,974.4266
3.1104,302.2797,974.1471
3.1107,302.1451,973.7283
3.1111,302.0553,973.4491
3.1112,301.9208,973.0307
3.1117,301.831,972.7512
3.112,301.6963,972.3322
3.1116,301.5617,971.9135
3.1122,301.4719,971.6341
3.1126,301.3374,971.2156
3.1123,301.2477,970.9363
3.1127,301.113,970.5174
3.1129,301.0233,970.2382
3.1127,300.8887,969.8194
3.1128,300.7991,969.5403
3.1135,300.6645,969.1215
3.1136,300.5748,968.8421
3.1142,300.4403,968.4235
3.1138,300.3506,968.1442
3.114,300.216,967.7253
3.1139,300.1257,967.4442
3.1145,299.9919,967.0275
3.1143,299.9007,966.7433
3.1145,299.7677,966.3292
3.1145,299.678,966.05
3.1147,299.5435,965.6312
3.1152,299.4539,965.3522
3.1153,299.3194,964.933
3.1152,299.185,964.5145
3.1155,299.0953,964.235
3.1156,298.9607,963.8157
3.1158,298.8712,963.537
3.1165,298.7368,963.1183
3.1163,298.6472,962.8392
3.1161,298.5128,962.4203
3.1167,298.4232,962.1411
3.1166,298.2888,961.7223
3.1168,298.1992,961.4432
3.117,298.0649,961.0246
3.1168,297.9753,960.7452
3.1172,297.8408,960.3261
3.1176,297.7513,960.0472
3.1173,297.6169,959.6284
3.1178,297.5274,959.3492
3.1177,297.393,958.9302
3.1178,297.3035,958.6512
3.1179,297.1691,958.2322
3.118,297.0789,957.9509
3.1185,296.9452,957.5343
3.1186,296.8109,957.1154
3.1185,296.7214,956.8363
3.119,296.5871,956.4175
3.1189,296.4975,956.1382
3.1194,296.3633,955.7197
3.1193,296.2737,955.4403
3.1192,296.1395,955.0216
3.1195,296.0499,954.7422
3.1194,295.9156,954.3233
3.1196,295.8261,954.0441
3.1199,295.6918,953.6254
3.1199,295.6023,953.3463
3.1203,295.4681,952.9274
3.1201,295.3786,952.6482
3.1203,295.2444,952.2294
3.1203,295.1548,951.9501
3.1207,295.0206,951.5313
3.1207,294.9312,951.2521
3.1211,294.7967,950.8327
3.1209,294.7075,950.5542
3.121,294.5732,950.1354
3.1215,294.4838,949.8561
3.1215,294.3495,949.4371
3.1215,294.2154,949.0185
3.1215,294.1257,948.7386
3.1218,293.9917,948.3205
3.1222,293.9015,948.0389
3.1221,293.7681,947.6224
3.1222,293.6787,947.3434
3.1224,293.5445,946.9244
3.1222,293.4551,946.6453
3.1226,293.3209,946.2263
3.1224,293.231,945.9455
3.1227,293.0969,945.5268
3.123,293.0074,945.2475
3.1232,292.8734,944.8289
3.1231,292.7839,944.5497
3.1232,292.6498,944.1309
3.1236,292.5604,943.8515
3.1234,292.4263,943.4327
3.1235,292.3369,943.1536
3.1236,292.2028,942.7348
3.1238,292.1134,942.4556
3.1243,291.9793,942.0368
3.1241,291.8452,941.618
3.1242,291.7559,941.3391
3.1245,291.6218,940.92
3.1244,291.5323,940.6406
3.1244,291.3982,940.2216
3.1247,291.309,939.9427
3.1247,291.1749,939.5239
3.1248,291.0855,939.2446
3.1248,290.9514,938.8258
3.125,290.8624,938.5475
3.1254,290.7268,938.1238
3.1252,290.6374,937.8445
3.1252,290.5034,937.4257
3.1254,290.414,937.1464
3.1254,290.28,936.7275
3.126,290.1907,936.4484
3.1257,290.0567,936.0297
3.1261,289.9673,935.7503
3.1264,289.8326,935.3292
3.1264,289.744,935.0524
3.1262,289.61,934.6335
3.1264,289.4756,934.2134
3.1269,289.3863,933.9341
3.1269,289.2524,933.5155
3.1268,289.1631,933.2362
3.127,289.0291,932.8174
3.1271,288.9398,932.538
3.1273,288.8058,932.1193
3.1273,288.7165,931.84
3.1276,288.5826,931.4211
3.1276,288.4934,931.1423
3.1279,288.3594,930.7233
