海辰280AhOCV-SOC电压,海辰280Ah0.5C放电电压,海辰280Ah0.04C放电电压,海辰280Ah0.5P放电电压,亿纬314Ah0.5P放电电压1,亿纬314Ah0.5P放电电压2,海辰280Ah模拟放电曲线
3.2059,3.081,3.1758,3.0902,3.1163,3.1161,3.0902
3.206,3.0818,3.1761,3.0915,3.1166,3.1163,3.0915
3.2060999999999997,3.0826,3.1763,3.0925,3.1168,3.1174,3.0925
3.2062,3.0834,3.1765,3.0936,3.1173,3.1176,3.0936
3.2063,3.0843,3.1767,3.0948,3.1178,3.1179,3.0948
3.2064,3.085,3.1768,3.096,3.1185,3.1185,3.096
3.2065,3.0857,3.177,3.097,3.119,3.1189,3.097
3.2066,3.0864,3.1772,3.0982,3.1193,3.1195,3.0982
3.2067,3.0871,3.1774,3.0993,3.1194,3.1197,3.0993
3.2068,3.0876,3.1775,3.1003,3.1199,3.1203,3.1003
3.2069,3.0883,3.1779,3.1016,3.1203,3.1206,3.1016
3.207,3.089,3.1779,3.1025,3.1207,3.1206,3.1025
3.20754,3.0896,3.1781,3.1037,3.121,3.1209,3.1037
3.20808,3.0901,3.1782,3.1049,3.1215,3.1215,3.1049
3.20862,3.0908,3.1784,3.106,3.1222,3.1222,3.106
3.20916,3.0913,3.1786,3.1069,3.1224,3.1224,3.1069
3.2096999999999998,3.092,3.1786,3.1083,3.1224,3.1227,3.1083
3.2102399999999998,3.0926,3.1789,3.1091,3.1232,3.1229,3.1091
3.2107799999999997,3.0931,3.1791,3.1103,3.1236,3.1233,3.1103
3.2113199999999997,3.0936,3.1791,3.1114,3.1236,3.1234,3.1114
3.2118599999999997,3.0941,3.1793,3.1125,3.1241,3.124,3.1125
3.2123999999999997,3.0947,3.1795,3.1135,3.1244,3.1247,3.1135
3.2129399999999997,3.0952,3.1796,3.1144,3.1247,3.1247,3.1144
3.2134799999999997,3.0957,3.1798,3.1156,3.125,3.125,3.1156
3.21402,3.0962,3.18,3.1166,3.1252,3.1252,3.1166
3.21456,3.0966,3.1802,3.1175,3.126,3.1261,3.1175
3.2151,3.0971,3.1803,3.1186,3.1264,3.1264,3.1186
3.21564,3.0977,3.1805,3.1195,3.1264,3.1268,3.1195
3.21618,3.0982,3.1807,3.1205,3.1268,3.1268,3.1205
3.21672,3.0985,3.1809,3.1214,3.1273,3.1271,3.1214
3.21726,3.0991,3.181,3.1224,3.1276,3.1278,3.1224
3.2178,3.0996,3.1814,3.1233,3.128,3.1283,3.1233
3.21834,3.1001,3.1816,3.1243,3.1283,3.1287,3.1243
3.21888,3.1005,3.1819,3.125,3.1291,3.1295,3.125
3.21942,3.101,3.1821,3.1258,3.1293,3.1297,3.1258
3.21996,3.1013,3.1824,3.1268,3.1303,3.1299,3.1268
3.2205,3.1019,3.1828,3.1276,3.1308,3.1307,3.1276
3.22104,3.1022,3.1833,3.1282,3.1313,3.1311,3.1282
3.22158,3.1027,3.1839,3.1292,3.1315,3.1314,3.1292
3.22212,3.1031,3.1844,3.13,3.1321,3.132,3.13
3.22266,3.1036,3.1849,3.1307,3.1326,3.1327,3.1307
3.2232,3.104,3.1856,3.1316,3.1334,3.1332,3.1316
3.22374,3.1045,3.1863,3.1324,3.134,3.1339,3.1324
3.22428,3.105,3.1872,3.1331,3.135,3.1345,3.1331
3.22482,3.1054,3.1879,3.1338,3.1357,3.1352,3.1338
3.22536,3.1059,3.1886,3.1345,3.1361,3.1359,3.1345
3.2258999999999998,3.1064,3.1895,3.1352,3.1366,3.1367,3.1352
3.2264399999999998,3.1068,3.1905,3.136,3.1373,3.1372,3.136
3.2269799999999997,3.1073,3.1912,3.1367,3.138,3.1382,3.1367
3.22752,3.1078,3.1919,3.1373,3.1387,3.139,3.1373
3.22806,3.1082,3.1926,3.1381,3.1397,3.139,3.1381
3.2286,3.1087,3.1935,3.1389,3.1402,3.1402,3.1389
3.22914,3.1092,3.194,3.1395,3.141,3.1408,3.1395
3.22968,3.1098,3.1949,3.1402,3.1413,3.1411,3.1402
3.23022,3.1103,3.1956,3.1407,3.1424,3.1418,3.1407
3.23076,3.1108,3.1961,3.1415,3.1425,3.1429,3.1415
3.2313,3.1113,3.1968,3.142,3.1433,3.1432,3.142
3.23184,3.1119,3.1974,3.1427,3.1441,3.1437,3.1427
3.23238,3.1124,3.1979,3.1433,3.1445,3.1446,3.1433
3.23292,3.1129,3.1986,3.144,3.1454,3.145,3.144
3.23346,3.1133,3.1991,3.1447,3.1458,3.1459,3.1447
3.234,3.114,3.1997,3.1454,3.1465,3.1466,3.1454
3.2344,3.1145,3.2002,3.1459,3.1474,3.1469,3.1459
3.2348,3.115,3.2007,3.1465,3.1475,3.1475,3.1465
3.2352,3.1156,3.2012,3.1472,3.1483,3.148,3.1472
3.2356,3.1161,3.2018,3.1478,3.1486,3.1488,3.1478
3.2359999999999998,3.1166,3.2023,3.1483,3.1497,3.1492,3.1483
3.2364,3.1171,3.2026,3.1491,3.1501,3.1497,3.1491
3.2368,3.1175,3.2032,3.1497,3.1506,3.1506,3.1497
3.2372,3.118,3.2037,3.1503,3.1513,3.1511,3.1503
3.2376,3.1187,3.204,3.1507,3.1518,3.1517,3.1507
3.238,3.1192,3.2046,3.1515,3.152,3.1521,3.1515
3.2384,3.1198,3.2049,3.1521,3.1528,3.1524,3.1521
3.2388,3.1203,3.2054,3.1526,3.1533,3.1532,3.1526
3.2392,3.1208,3.2058,3.1532,3.1538,3.1539,3.1532
3.2396,3.1212,3.2063,3.1538,3.1542,3.1544,3.1538
3.24,3.1219,3.2067,3.1543,3.1547,3.1545,3.1543
3.2404,3.1224,3.2072,3.1549,3.1552,3.1552,3.1549
3.2408,3.1229,3.2077,3.1554,3.1561,3.1562,3.1554
3.2412,3.1233,3.2081,3.156,3.1568,3.1567,3.156
3.2416,3.1238,3.2086,3.1564,3.1568,3.1566,3.1564
3.242,3.1245,3.2091,3.1571,3.1575,3.1572,3.1571
3.2424,3.125,3.2095,3.1576,3.1579,3.1579,3.1576
3.2428,3.1254,3.21,3.1581,3.1583,3.1586,3.1581
3.2432,3.1259,3.2105,3.1586,3.1588,3.1591,3.1586
3.2436,3.1263,3.2109,3.1592,3.16,3.1594,3.1592
3.2439999999999998,3.1268,3.2114,3.1596,3.1598,3.1597,3.1596
3.2444,3.1273,3.2118,3.1602,3.1607,3.1601,3.1602
3.2448,3.1277,3.2123,3.1607,3.161,3.1607,3.1607
3.2452,3.1282,3.2128,3.1612,3.1614,3.1617,3.1612
3.2456,3.1287,3.2135,3.1616,3.162,3.1621,3.1616
3.246,3.1291,3.2139,3.1621,3.1626,3.1621,3.1621
3.2464,3.1296,3.2144,3.1625,3.1628,3.1628,3.1625
3.2468,3.13,3.2151,3.163,3.1633,3.1637,3.163
3.2472,3.1305,3.2155,3.1635,3.1639,3.1639,3.1635
3.2476,3.1308,3.216,3.1639,3.1642,3.1645,3.1639
3.248,3.1312,3.2165,3.1643,3.1651,3.1647,3.1643
3.2484,3.1317,3.217,3.1649,3.1653,3.1648,3.1649
3.2488,3.1321,3.2176,3.1653,3.1656,3.1654,3.1653
3.2492,3.1326,3.2181,3.1656,3.1666,3.1658,3.1656
3.2496,3.1329,3.2186,3.1661,3.1667,3.1665,3.1661
3.25,3.1333,3.219,3.1665,3.1669,3.1669,3.1665
3.2504,3.1338,3.2195,3.1668,3.1674,3.1673,3.1668
3.2508,3.1342,3.22,3.1675,3.1678,3.1681,3.1675
3.2512,3.1345,3.2204,3.1678,3.1685,3.1682,3.1678
3.2516,3.1349,3.2209,3.1682,3.1688,3.169,3.1682
3.252,3.1354,3.2214,3.1686,3.1692,3.1695,3.1686
3.2524,3.1357,3.2218,3.169,3.1698,3.1699,3.169
3.2528,3.1361,3.2223,3.1694,3.1702,3.17,3.1694
3.2532,3.1364,3.2228,3.1697,3.1704,3.1707,3.1697
3.2536,3.137,3.2232,3.1701,3.1709,3.1709,3.1701
3.254,3.1373,3.2237,3.1706,3.1709,3.1711,3.1706
3.2543,3.1377,3.2241,3.1709,3.172,3.1715,3.1709
3.2546,3.138,3.2244,3.1713,3.1722,3.1719,3.1713
3.2549,3.1384,3.2249,3.1717,3.1723,3.1722,3.1717
3.2552,3.1389,3.2253,3.1722,3.173,3.1726,3.1722
3.2555,3.1391,3.2256,3.1725,3.173,3.1735,3.1725
3.2558,3.1394,3.226,3.1728,3.1736,3.1732,3.1728
3.2561,3.1398,3.2263,3.1732,3.1738,3.1736,3.1732
3.2564,3.1403,3.2267,3.1735,3.1744,3.1741,3.1735
3.2567,3.1407,3.227,3.1739,3.175,3.1744,3.1739
3.257,3.141,3.2274,3.1743,3.1754,3.1749,3.1743
3.2573,3.1414,3.2277,3.1746,3.1751,3.1752,3.1746
3.2576,3.1417,3.2281,3.1748,3.1756,3.1762,3.1748
3.2579000000000002,3.1419,3.2286,3.1753,3.1763,3.176,3.1753
3.2582,3.1424,3.2288,3.1755,3.1764,3.1764,3.1755
3.2585,3.1426,3.2291,3.1759,3.1766,3.1766,3.1759
3.2588,3.1431,3.2295,3.1761,3.177,3.1767,3.1761
3.2591,3.1433,3.2297,3.1766,3.1773,3.1773,3.1766
3.2594,3.1438,3.23,3.1768,3.1777,3.1774,3.1768
3.2597,3.144,3.2304,3.1772,3.1779,3.1779,3.1772
3.2600000000000002,3.1443,3.2307,3.1775,3.1782,3.1784,3.1775
3.2603,3.1447,3.2311,3.178,3.1787,3.1786,3.178
3.2606,3.1451,3.2314,3.1781,3.1791,3.1791,3.1781
3.2609,3.1454,3.2316,3.1786,3.1791,3.1793,3.1786
3.2612,3.1456,3.2318,3.1789,3.1795,3.1797,3.1789
3.2615,3.1459,3.2321,3.1791,3.1798,3.1802,3.1791
3.2618,3.1463,3.2323,3.1796,3.1807,3.1801,3.1796
3.2621,3.1466,3.2328,3.1798,3.1804,3.1805,3.1798
3.2624,3.147,3.233,3.1801,3.1807,3.1809,3.1801
3.2627,3.1473,3.2332,3.1804,3.181,3.1814,3.1804
3.263,3.1477,3.2335,3.1808,3.1813,3.1816,3.1808
3.2633,3.148,3.2339,3.1809,3.1821,3.1819,3.1809
3.2636000000000003,3.1482,3.2342,3.1813,3.1824,3.1818,3.1813
3.2639,3.1486,3.2344,3.1817,3.1825,3.1821,3.1817
3.2642,3.1489,3.2346,3.1819,3.1826,3.1826,3.1819
3.2645,3.1493,3.2349,3.1822,3.1829,3.1827,3.1822
3.2648,3.1496,3.2353,3.1824,3.1836,3.183,3.1824
3.2651,3.15,3.2355,3.1828,3.1833,3.1834,3.1828
3.2654,3.1501,3.2358,3.1831,3.1838,3.1836,3.1831
3.2657000000000003,3.1505,3.236,3.1834,3.1842,3.184,3.1834
3.266,3.1507,3.2362,3.1838,3.1846,3.1842,3.1838
3.2663,3.151,3.2365,3.184,3.1848,3.1847,3.184
3.2666,3.1514,3.2369,3.1844,3.1855,3.1852,3.1844
3.2669,3.1517,3.2372,3.1845,3.1856,3.1851,3.1845
3.2672000000000003,3.1519,3.2374,3.1849,3.1855,3.1854,3.1849
3.2675,3.1522,3.2377,3.1852,3.186,3.1859,3.1852
3.2678000000000003,3.1526,3.2381,3.1854,3.186,3.1859,3.1854
3.2681,3.1528,3.2383,3.1859,3.1863,3.1864,3.1859
3.2684,3.1531,3.2386,3.186,3.1867,3.1866,3.186
3.2687,3.1535,3.239,3.1863,3.1867,3.1867,3.1863
3.269,3.1538,3.2393,3.1865,3.1872,3.1872,3.1865
3.26934,3.154,3.2397,3.1868,3.1875,3.1874,3.1868
3.26968,3.1542,3.24,3.1872,3.1881,3.1878,3.1872
3.27002,3.1545,3.2404,3.1874,3.1879,3.1882,3.1874
3.27036,3.1547,3.2407,3.1878,3.1884,3.1882,3.1878
3.2707,3.1551,3.2411,3.188,3.1889,3.1882,3.188
3.27104,3.1554,3.2414,3.1882,3.1886,3.1889,3.1882
3.27138,3.1556,3.2418,3.1886,3.1891,3.189,3.1886
3.27172,3.1559,3.2421,3.1889,3.1892,3.1894,3.1889
3.27206,3.1561,3.2425,3.1891,3.1897,3.1894,3.1891
3.2724,3.1563,3.2427,3.1893,3.1899,3.1896,3.1893
3.27274,3.1565,3.243,3.1897,3.1902,3.19,3.1897
3.27308,3.1568,3.2435,3.1898,3.1904,3.1902,3.1898
3.27342,3.1572,3.2437,3.1902,3.1905,3.1905,3.1902
3.2737600000000002,3.1573,3.2442,3.1904,3.1908,3.1907,3.1904
3.2741000000000002,3.1575,3.2446,3.1907,3.1912,3.1909,3.1907
3.2744400000000002,3.1577,3.2448,3.191,3.1916,3.1912,3.191
3.2747800000000002,3.1582,3.2453,3.1912,3.1912,3.1916,3.1912
3.2751200000000003,3.1584,3.2455,3.1914,3.1918,3.1917,3.1914
3.2754600000000003,3.1586,3.246,3.1917,3.1919,3.1921,3.1917
3.2758000000000003,3.1589,3.2462,3.1921,3.1921,3.1921,3.1921
3.2761400000000003,3.1591,3.2465,3.1922,3.1929,3.1926,3.1922
